i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	9187.75        0.460232       0.460239       0.460232       0.460239       0              0              
1	0	0	9227.1         0.46168        0.461686       0.46168        0.461686       0              0              
2	0	0	9241.67        0.463144       0.463152       0.463144       0.463152       0              0              
3	0	0	9277.08        0.464628       0.464635       0.464628       0.464635       0              0              
4	0	0	9307.69        0.46613        0.466138       0.46613        0.466138       0              0              
5	0	0	9360.04        0.467655       0.467663       0.467655       0.467663       0              0              
6	0	0	9366.65        0.469198       0.469205       0.469198       0.469205       0              0              
7	0	0	9397.33        0.47076        0.470767       0.47076        0.470767       0              0              
8	0	0	9419.7         0.472341       0.472348       0.472341       0.472348       0              0              
9	0	0	9479.86        0.473946       0.473954       0.473946       0.473954       0              0              
10	0	0	9487.8         0.475572       0.475578       0.475572       0.475578       0              0              
11	0	0	9537.91        0.477221       0.477228       0.477221       0.477228       0              0              
12	0	0	9573.05        0.47889        0.4789         0.47889        0.4789         0              0              
13	0	0	9588.59        0.480584       0.480593       0.480584       0.480593       0              0              
14	0	0	9637.8         0.482301       0.482309       0.482301       0.482309       0              0              
15	0	0	9678.7         0.484042       0.484052       0.484042       0.484052       0              0              
16	0	0	9716.12        0.485815       0.485821       0.485815       0.485821       0              0              
17	0	0	9746.49        0.487609       0.487615       0.487609       0.487615       0              0              
18	0	0	9776.08        0.489422       0.489433       0.489422       0.489433       0              0              
19	0	0	9816.68        0.491271       0.491279       0.491271       0.491279       0              0              
20	0	0	9840.35        0.493139       0.49315        0.493139       0.49315        0              0              
21	0	0	9905.9         0.495042       0.495051       0.495042       0.495051       0              0              
22	0	0	9918.22        0.496971       0.496979       0.496971       0.496979       0              0              
23	0	0	9963.2         0.498927       0.498936       0.498927       0.498936       0              0              
24	0	0	9971.79        0.500911       0.500919       0.500911       0.500919       0              0              
25	0	0	10026.3        0.502925       0.502933       0.502925       0.502933       0              0              
26	0	0	10079.2        0.504972       0.504981       0.504972       0.504981       0              0              
27	0	0	10147.4        0.507054       0.507066       0.507054       0.507066       0              0              
28	0	0	10188.2        0.509177       0.509185       0.509177       0.509185       0              0              
29	0	0	10211.9        0.511329       0.511336       0.511329       0.511336       0              0              
30	0	0	10249          0.513512       0.513521       0.513512       0.513521       0              0              
31	0	0	10321.4        0.515738       0.515744       0.515738       0.515744       0              0              
32	0	0	10333.6        0.517993       0.518005       0.517993       0.518005       0              0              
33	0	0	10368.6        0.520288       0.520296       0.520288       0.520296       0              0              
34	0	0	10414.1        0.52262        0.522627       0.52262        0.522627       0              0              
35	0	0	10491.9        0.524988       0.525002       0.524988       0.525002       0              0              
36	0	0	10534.8        0.598022       0.527488       0.527411       0.527419       554.662        449.241        
37	0	0	10594.1        0.529901       0.529884       0.529879       0.529883       36.4471        36.4471        
38	0	0	10639.1        0.532386       0.532389       0.532386       0.532389       0              0              
39	0	0	10671.3        0.534933       0.534938       0.534933       0.534938       0              0              
40	0	0	10747.4        0.537538       0.537535       0.537538       0.537535       0              0              
41	0	0	10795.8        0.540179       0.540185       0.540179       0.540185       0              0              
42	0	0	10871.7        0.542876       0.542884       0.542876       0.542884       0              0              
43	0	0	10933.1        0.545626       0.545639       0.545626       0.545639       0              0              
44	0	0	10943.7        0.548435       0.548439       0.548435       0.548439       0              0              
45	0	0	11013.8        0.551288       0.551295       0.551288       0.551295       0              0              
46	0	0	11071.7        0.5542         0.554206       0.5542         0.554206       0              0              
47	0	0	11106          0.557169       0.557169       0.557169       0.557169       0              0              
48	0	0	11189.4        0.560198       0.560197       0.560198       0.560197       0              0              
49	0	0	11264          0.563283       0.563291       0.563283       0.563291       0              0              
50	0	0	11320.4        0.566438       0.566449       0.566438       0.566449       0              0              
51	0	0	11378.9        0.569661       0.569674       0.569661       0.569674       0              0              
52	0	0	11430.6        0.572961       0.572964       0.572961       0.572964       0              0              
53	0	0	11520.9        0.576323       0.576327       0.576323       0.576327       0              0              
54	0	0	11571.7        0.579766       0.579765       0.579766       0.579765       0              0              
55	0	0	11655.5        0.583277       0.583281       0.583277       0.583281       0              0              
56	0	0	11728.7        0.586876       0.586878       0.586876       0.586878       0              0              
57	0	0	11790.4        0.590545       0.590557       0.590545       0.590557       0              0              
58	0	0	11848.6        0.594318       0.594316       0.594318       0.594316       0              0              
59	0	0	11896.8        0.598158       0.59816        0.598158       0.59816        0              0              
60	0	0	12030.7        0.602103       0.6021         0.602103       0.6021         0              0              
61	0	0	12096.6        0.60615        0.606145       0.60615        0.606145       0              0              
62	0	0	12171.7        0.610299       0.610287       0.610299       0.610287       0              0              
63	0	0	12254.5        0.614537       0.614531       0.614537       0.614531       0              0              
64	0	0	12361.7        0.618899       0.618888       0.618899       0.618888       0              0              
65	0	0	12444.7        0.623382       0.623366       0.623382       0.623366       0              0              
66	0	0	12535.4        0.627975       0.62796        0.627975       0.62796        0              0              
67	0	0	12651.4        0.632687       0.632684       0.632687       0.632684       0              0              
68	0	0	12739.9        0.637567       0.63754        0.637567       0.63754        0              0              
69	0	0	12859.8        0.708741       0.642622       0.642551       0.64254        579.295        537.188        
70	0	0	12932          0.647702       0.647678       0.647702       0.647678       0              0              
71	0	0	13041.8        0.652993       0.652964       0.652993       0.652964       0              0              
72	0	0	13151.3        0.658437       0.658411       0.658437       0.658411       0              0              
73	0	0	13293.2        0.664059       0.664034       0.664059       0.664034       0              0              
74	0	0	13394.5        0.669855       0.669831       0.669855       0.669831       0              0              
75	0	0	13491.7        0.675846       0.675806       0.675846       0.675806       0              0              
76	0	0	13660.9        0.682021       0.681989       0.682021       0.681989       0              0              
77	0	0	13745.3        0.6884         0.688372       0.6884         0.688372       0              0              
78	0	0	13910.2        0.695032       0.694976       0.695032       0.694976       0              0              
79	0	0	14049.2        0.70187        0.701818       0.70187        0.701818       0              0              
80	0	0	14172.8        0.708958       0.708898       0.708958       0.708898       0              0              
81	0	0	14330.1        0.716316       0.716243       0.716316       0.716243       0              0              
82	0	0	14492          0.723929       0.723868       0.723929       0.723868       0              0              
83	0	0	14641.8        0.731861       0.731788       0.731861       0.731788       0              0              
84	0	0	14809.5        0.740098       0.740023       0.740098       0.740023       0              0              
85	0	0	14979.4        0.748681       0.748592       0.748681       0.748592       0              0              
86	0	0	15172.8        0.757639       0.757527       0.757639       0.757527       0              0              
87	0	0	15352.4        0.766975       0.766851       0.766975       0.766851       0              0              
88	0	0	15529.8        0.776712       0.776579       0.776712       0.776579       0              0              
89	0	0	15740.7        0.786907       0.786757       0.786907       0.786757       0              0              
90	0	0	15966.9        0.797569       0.797421       0.797569       0.797421       0              0              
91	0	0	16173.2        0.80878        0.808604       0.80878        0.808604       0              0              
92	0	0	16415.3        0.820562       0.820354       0.820562       0.820354       0              0              
93	0	0	16657.3        0.832921       0.832713       0.832921       0.832713       0              0              
94	0	0	16917.4        0.845995       0.845745       0.845995       0.845745       0              0              
95	0	0	17208.5        0.859794       0.859522       0.859794       0.859522       0              0              
96	0	0	17490.3        0.874432       0.874105       0.874432       0.874105       0              0              
97	0	0	17831.9        0.890003       0.889593       0.890003       0.889593       0              0              
98	0	0	18164.4        0.906468       0.906088       0.906468       0.906088       0              0              
99	0	0	18482.6        0.924127       0.923657       0.924127       0.923657       0              0              
100	0	0	18865.6        0.943015       0.942445       0.943015       0.942445       0              0              
101	0	0	19298.3        0.963286       0.962642       0.963286       0.962642       0              0              
102	0	0	19719          0.985104       0.984394       0.985104       0.984394       0              0              
103	0	0	20222.9        1.0088         1.00794        1.0088         1.00794        0              0              
104	0	0	20710.2        1.0345         1.03352        1.0345         1.03352        0              0              
105	0	0	21264.9        1.06262        1.06144        1.06262        1.06144        0              0              
106	0	0	21889.4        1.09352        1.09209        1.09352        1.09209        0              0              
107	0	0	22553.3        1.12776        1.12597        1.12776        1.12597        0              0              
108	0	0	23321.5        1.16588        1.1637         1.16588        1.1637         0              0              
109	0	0	24174.2        1.20882        1.2061         1.20882        1.2061         0              0              
110	0	0	25159.1        1.25769        1.25425        1.25769        1.25425        0              0              
111	0	0	26260.8        1.31423        1.3096         1.31423        1.3096         0              0              
112	0	0	27534.2        1.38047        1.37419        1.38047        1.37419        0              0              
113	0	0	29096.7        1.46029        1.45112        1.46029        1.45112        0              0              
114	0	0	30975.5        1.56464        1.54541        1.56464        1.54541        0              0              
115	0	0	33379.6        1.68467        1.66357        1.68467        1.66357        0              0              
116	0	0	36622.3        1.87585        1.82468        1.87585        1.82468        0              0              
117	0	0	41378.4        2.23709        2.0635         2.23709        2.0635         0              0              
118	0	0	48636.3        3.01122        2.45537        3.01122        2.45537        0              0              
119	0	0	58330.6        4.65774        3.11876        4.65774        3.11876        0              0              
120	0	0	62004.3        6.72636        4.02204        6.72636        4.02204        0              0              
121	0	0	50246          8.81594        5.07916        8.81594        5.07916        0              0              
122	0	0	27398.5        10.8448        6.26665        10.8448        6.26665        0              0              
123	0	0	8383.23        12.8516        7.46995        12.8516        7.46995        0              0              
124	0	0	1356.23        13.9686        8.42647        13.9686        8.42647        0              0              
125	0	0	110.295        16.3797        10.2812        16.3797        10.2812        0              0              
126	0	0	0              0              0              0              0              0              0              
127	0	0	0              0              0              0              0              0              0              
128	0	0	0              0              0              0              0              0              0              
129	0	0	0              0              0              0              0              0              0              
130	0	0	0              0              0              0              0              0              0              
131	0	0	0              0              0              0              0              0              0              
132	0	0	0              0              0              0              0              0              0              
133	0	0	0              0              0              0              0              0              0              
134	0	0	0              0              0              0              0              0              0              
135	0	0	0              0              0              0              0              0              0              
136	0	0	0              0              0              0              0              0              0              
137	0	0	0              0              0              0              0              0              0              
138	0	0	0              0              0              0              0              0              0              
139	0	0	0              0              0              0              0              0              0              
140	0	0	0              0              0              0              0              0              0              
141	0	0	0              0              0              0              0              0              0              
142	0	0	0              0              0              0              0              0              0              
143	0	0	0              0              0              0              0              0              0              
144	0	0	0              0              0              0              0              0              0              
145	0	0	0              0              0              0              0              0              0              
146	0	0	0              0              0              0              0              0              0              
147	0	0	0              0              0              0              0              0              0              
148	0	0	0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              
